,user,text,favorite_count,retweet_count,created_at
42,narendramodi,My best wishes to Shri Mallikarjun Kharge Ji for his new responsibility as President of @INCIndia. May he have a fruitful tenure ahead. @kharge,72497,7605,2022-10-19 12:03:29+00:00
43,narendramodi,"8 years ago, India was known as a defence importer. Today, our strides in defence manufacturing are widely known. https://t.co/8IQWNelJrY",13496,4510,2022-10-19 11:41:19+00:00
44,narendramodi,The airfield in Deesa will be a big boost for our security apparatus. https://t.co/XMxDNFtZnT,9675,3178,2022-10-19 11:41:06+00:00
45,narendramodi,This year’s DefExpo is being held at a time when there is great global curiosity towards India. https://t.co/8r8pPZjwCr,6987,2738,2022-10-19 11:40:41+00:00
46,narendramodi,DefExpo 2022 is special for this reason… https://t.co/h6HxcrXu0S,8027,2936,2022-10-19 11:40:26+00:00
47,narendramodi,Glad to be in Junagadh. Foundation stone of various projects are being laid which will greatly benefit the citizens. https://t.co/vZ8kPLnz4J,10653,3582,2022-10-19 10:38:40+00:00
48,narendramodi,Mission Schools of Excellence will help scale up education infrastructure in Gujarat. https://t.co/lHhlzttZwo,11586,3916,2022-10-19 07:20:14+00:00
49,narendramodi,"Addressing Defence Expo 2022 being held in Gandhinagar, Gujarat. https://t.co/YFaSC2xLKK",12776,4545,2022-10-19 04:55:01+00:00
50,narendramodi,Congratulations to H. E. Mr. Ulf Kristersson on his election as the next Prime Minister of Sweden. I look forward to working closely together to further strengthen our multi-faceted partnership. @SwedishPM,18123,3662,2022-10-19 02:32:24+00:00
51,narendramodi,Bringing Lothal and India’s rich maritime history back to life… https://t.co/2k8rycWWMD,18970,5913,2022-10-18 13:27:28+00:00
52,narendramodi,"राष्ट्र के विकास में हमारे किसान भाई-बहन अहम भागीदार हैं। उन्हें और सशक्त बनाने के लिए सरकार ने आज गेहूं, मसूर, चना और जौ सहित सभी अनिवार्य रबी फसलों की एमएसपी में वृद्धि को मंजूरी दी है। ये निर्णय कृषि क्षेत्र को और अधिक ऊर्जावान बनाएगा।
https://t.co/eEV6gvFsPx",18567,5092,2022-10-18 13:24:30+00:00
53,narendramodi,National Maritime Heritage Complex at Lothal is our resolve to celebrate India's rich maritime history. https://t.co/iIbHS8Z6EB,11471,4155,2022-10-18 11:55:57+00:00
54,narendramodi,This is a great effort to deepen our connect with our rich maritime history. I would urge all those passionate about history and maritime studies to join the programme at 5 PM this evening. https://t.co/daSYmz1Fnx,13192,4124,2022-10-18 11:00:31+00:00
55,narendramodi,Addressing the INTERPOL General Assembly in New Delhi. https://t.co/JrbpZ9hLq6,15672,5045,2022-10-18 09:00:32+00:00
56,narendramodi,कृषि क्षेत्र में आत्मनिर्भरता के लिए एक बड़ी चुनौती का जिक्र मैं अपने किसान साथियों और इनोवेटर्स से जरूर करना चाहूंगा… https://t.co/i001iA9BtF,15989,4656,2022-10-17 15:53:31+00:00
57,narendramodi,"आधुनिक टेक्नोलॉजी के उपयोग से छोटे किसानों को कैसे लाभ होता है, इसका एक बड़ा उदाहरण पीएम किसान सम्मान निधि भी है। https://t.co/DuA61XxDq0",18747,4833,2022-10-17 15:53:14+00:00
58,narendramodi,"फर्टिलाइजर सेक्टर में बदलाव के हमारे अब तक के प्रयासों में आज से दो और प्रमुख Reforms जुड़े हैं:
 
1. प्रधानमंत्री किसान समृद्धि केंद्रों को विकसित करने का अभियान 

2. देशभर में सिर्फ ‘भारत ब्रांड’ से यूरिया की बिक्री https://t.co/x2fmzkij9G",9654,3503,2022-10-17 15:52:42+00:00
